dataset,method,track,level,outer_seed,cells,macro_f1_mean,macro_f1_std,auprc_mean,auprc_std,far_mean,far_std,fault_recall_mean,fault_recall_std,early_recall_mean,early_recall_std,detection_delay_mean,detection_delay_std,worst_cell_macro_f1,worst_outer_seed,worst_model_seed,worst_run_id
3W,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,15,0.3215699400669452,0.032353584618821526,0.7873160799704984,0.10047441873091371,0.6514675434821376,0.23984333468182228,0.9120703983958753,0.03668953361615113,0.9114408156418549,0.043116775648786784,915.0598656314445,1258.1476007045062,0.12558438107023245,31002,42,3w-outer31002-seed42-final_qdiffcl
3W,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31001,5,0.44324945183417397,0.06727450206966833,0.7813040924455971,0.10050276966456356,0.2183166282539172,0.19368629637907034,0.7910893583330334,0.13886573589832552,0.8033305065145324,0.1473307162220879,814.9852380952382,816.3909259335945,,,,
3W,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31002,5,0.2573995151968457,0.09471806765922507,0.4537070288593149,0.23396353778694595,0.8860166877698777,0.1589954380801807,0.912631090487239,0.09482408937772045,0.9060335080686608,0.10656484296290081,1114.7083333333335,2083.422020195647,,,,
3W,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31003,5,0.299598707095838,0.04338152404108894,0.8629715651405536,0.01020709597696757,0.7688067976772416,0.1480643846044795,0.827643373493976,0.1618298147412408,0.8242334561700554,0.1643196895120627,4101.859230769231,9014.662132368288,,,,
3W,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,15,0.3334158913756193,0.09743075080016703,0.6993275621484886,0.2165975041500684,0.6243800379003455,0.35651109249803753,0.8437879407714162,0.062358507464443116,0.8445324902510829,0.05427720258565156,2010.5176007326008,1817.3444482535435,0.14015012080565503,31002,42,3w-outer31002-seed42-frera
3W,JITTER,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31001,5,0.3692716468118345,0.12293528762615738,0.8108500846831234,0.03570286181010793,0.39149916921262795,0.21298960171677828,0.9116925180839962,0.05551263112533547,0.9189730938246858,0.053136667799241165,523.0952380952381,356.7390733293864,,,,
3W,JITTER,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31002,5,0.200018582410674,0.09339052063472676,0.6504576362871953,0.018016511336020297,0.9349739727065138,0.06930038467860933,0.8398886310904873,0.119940561252383,0.832521327988488,0.11778027416506447,2247.578787878788,2291.6656695815514,,,,
3W,JITTER,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31003,5,0.33422771946564034,0.05930805371410477,0.8594376578139602,0.007326862467353582,0.6837767789770677,0.18387703195158614,0.8435166953528398,0.1655660605036097,0.8410454875289899,0.17091607239781748,2652.5065334665337,5672.5791858878865,,,,
3W,JITTER,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,15,0.3011726495627163,0.08933716016871839,0.773581792928093,0.10936112895853503,0.6700833069654032,0.2719960457248968,0.8650326148424411,0.04044935896224319,0.8641799697807212,0.04764325929070083,1807.7268531468533,1130.796360791493,0.12968317573050106,31002,42,3w-outer31002-seed42-jitter
3W,JITTER_SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31001,5,0.400797319829322,0.11654223052626464,0.8171491170631249,0.039907607849840224,0.3483589716102982,0.16428819515366855,0.8980170583366321,0.056122645314945964,0.9070233598026366,0.051496880411163314,426.1398496240601,240.55073074347166,,,,
