dataset,channel,frequency_bin,domain_score,domain_mask,fault_mask,quadrant
3W,11,13,0.20369328558444977,0.5558620691299438,0.5564844608306885,fault_high_domain_high
3W,11,14,0.20785538852214813,0.5600000023841858,0.5538186430931091,fault_high_domain_high
3W,11,15,0.19753392040729523,0.5365517139434814,0.5495291352272034,fault_high_domain_high
3W,11,16,0.2004515379667282,0.54758620262146,0.5562403798103333,fault_high_domain_high
3W,11,17,0.2036581188440323,0.5544827580451965,0.5483680963516235,fault_high_domain_high
3W,11,18,0.19954369962215424,0.5448275804519653,0.5439987778663635,fault_high_domain_high
3W,11,19,0.19944702088832855,0.5420689582824707,0.5539653301239014,fault_high_domain_high
3W,11,20,0.199149951338768,0.5393103361129761,0.5521028637886047,fault_high_domain_high
3W,11,21,0.2014852613210678,0.5517241358757019,0.5484212040901184,fault_high_domain_high
3W,11,22,0.19930577278137207,0.5406896471977234,0.5494627952575684,fault_high_domain_high
3W,11,23,0.19997724890708923,0.5462068915367126,0.5565106868743896,fault_high_domain_high
3W,11,24,0.196221724152565,0.5351724028587341,0.557405412197113,fault_high_domain_high
3W,11,25,0.1980602890253067,0.5379310250282288,0.557883083820343,fault_high_domain_high
3W,11,26,0.20125702023506165,0.5503448247909546,0.5545865893363953,fault_high_domain_high
3W,11,27,0.20406889915466309,0.5572413802146912,0.5563755631446838,fault_high_domain_high
3W,11,28,0.19603335857391357,0.5337930917739868,0.5556345582008362,fault_high_domain_high
3W,11,29,0.20072363317012787,0.5489655137062073,0.5508556962013245,fault_high_domain_high
3W,11,30,0.203447163105011,0.5531034469604492,0.615217924118042,fault_high_domain_high
3W,11,31,0.19452300667762756,0.5310344696044922,0.6136593818664551,fault_high_domain_high
3W,11,32,0.1954563409090042,0.5324137806892395,0.6201985478401184,fault_high_domain_high
3W,12,0,0.7616096138954163,0.977931022644043,0.4968099296092987,fault_low_domain_high
3W,12,1,0.23115544021129608,0.5751724243164062,0.5162177681922913,fault_high_domain_high
3W,12,2,0.22918395698070526,0.5737931132316589,0.5193015336990356,fault_high_domain_high
3W,12,3,0.1805325150489807,0.5296551585197449,0.5785682797431946,fault_high_domain_high
3W,12,4,0.15159162878990173,0.5268965363502502,0.6068969964981079,fault_high_domain_high
3W,12,5,0.15947389602661133,0.5282758474349976,0.6250320672988892,fault_high_domain_high
3W,12,6,0.15116721391677856,0.5255172252655029,0.6262332797050476,fault_high_domain_high
3W,12,7,0.13637113571166992,0.521379292011261,0.6238817572593689,fault_high_domain_high
3W,12,8,0.1412457972764969,0.5241379141807556,0.6251838207244873,fault_high_domain_high
3W,12,9,0.13784854114055634,0.5227586030960083,0.6273002028465271,fault_high_domain_high
3W,12,10,0.13005924224853516,0.517241358757019,0.6357800960540771,fault_high_domain_high
3W,12,11,0.13452361524105072,0.5186206698417664,0.6380553841590881,fault_high_domain_high
3W,12,12,0.13462229073047638,0.5199999809265137,0.6339742541313171,fault_high_domain_high
3W,12,13,0.12733641266822815,0.5117241144180298,0.6290218830108643,fault_high_domain_high
3W,12,14,0.1289912611246109,0.5131034255027771,0.6337578296661377,fault_high_domain_high
3W,12,15,0.1296364814043045,0.5158620476722717,0.6389158964157104,fault_high_domain_high
3W,12,16,0.12519052624702454,0.5048275589942932,0.6359222531318665,fault_high_domain_high
3W,12,17,0.12732848525047302,0.5103448033332825,0.6362864971160889,fault_high_domain_high
3W,12,18,0.12953436374664307,0.5144827365875244,0.636527419090271,fault_high_domain_high
3W,12,19,0.12511441111564636,0.5034482479095459,0.6364182233810425,fault_high_domain_high
3W,12,20,0.12590350210666656,0.5062068700790405,0.6354280114173889,fault_high_domain_high
3W,12,21,0.1272764801979065,0.5089654922485352,0.6396327018737793,fault_high_domain_high
3W,12,22,0.12458093464374542,0.5006896257400513,0.642433762550354,fault_high_domain_high
3W,12,23,0.12412235885858536,0.49931034445762634,0.6413326263427734,fault_high_domain_low
3W,12,24,0.12678325176239014,0.5075861811637878,0.6397262215614319,fault_high_domain_high
3W,12,25,0.12382376194000244,0.49793103337287903,0.6369143128395081,fault_high_domain_low
3W,12,26,0.1231459379196167,0.49241378903388977,0.6381504535675049,fault_high_domain_low
3W,12,27,0.12472018599510193,0.5020689368247986,0.6361051797866821,fault_high_domain_high
3W,12,28,0.12355875223875046,0.4951724112033844,0.6401697993278503,fault_high_domain_low
3W,12,29,0.1218033879995346,0.48965516686439514,0.642385721206665,fault_high_domain_low
3W,12,30,0.12371134757995605,0.4965517222881317,0.6376428008079529,fault_high_domain_low
3W,12,31,0.12323827296495438,0.4937931001186371,0.6387204527854919,fault_high_domain_low
3W,12,32,0.12188493460416794,0.49103447794914246,0.6377915143966675,fault_high_domain_low
3W,13,0,0.9818599224090576,0.9875862002372742,0.3486819863319397,fault_low_domain_high
3W,13,1,0.6207557320594788,0.9682758450508118,0.30187857151031494,fault_low_domain_high
3W,13,2,0.5945090055465698,0.9572413563728333,0.3029680848121643,fault_low_domain_high
